# ASCII dump of profile. Original file: /gereb/Absorption/Stacking/13/mHan
# Position of profile (2 dimensions):
# Ra 14h 49m 21.603s                        linear co-oridinate: 128
# Dec 63d 16m 14.11s                        linear co-oridinate: 128
# 1 individual profile was used to produce this profile
# X axis name: "FREQ-HEL"  Y axis name: "JY/BEAM"
# 185 values follow
1.3598940772805e+09    -2.3073685588315e-04
1.3598159522834e+09    -3.0794780468568e-04
1.3597378272862e+09    -2.9494578484446e-04
1.3596597022891e+09    -1.1452159378678e-04
1.3595815772919e+09    6.5603421535343e-04
1.3595034522948e+09    7.4039609171450e-04
1.3594253272976e+09    1.0670211850083e-05
1.3593472023005e+09    -8.1670610234141e-04
1.3592690773033e+09    -1.3640626566485e-03
1.3591909523062e+09    -7.5079908128828e-04
1.3591128273091e+09    6.6480226814747e-04
1.3590347023119e+09    2.5057750754058e-03
1.3589565773148e+09    3.3496534451842e-03
1.3588784523176e+09    1.8511323723942e-03
1.3588003273205e+09    -5.4719584295526e-04
1.3587222023233e+09    -1.5426499303430e-03
1.3586440773262e+09    -1.1337500764057e-03
1.3585659523290e+09    -2.1164922509342e-04
1.3584878273319e+09    5.2471843082458e-04
1.3584097023347e+09    9.5372425857931e-04
1.3583315773376e+09    1.1721750488505e-03
1.3582534523404e+09    4.4598715612665e-04
1.3581753273433e+09    -1.1512267519720e-04
1.3580972023461e+09    7.1937916800380e-05
1.3580190773490e+09    5.0942174857482e-04
1.3579409523518e+09    1.2936481507495e-03
1.3578628273547e+09    1.5509827062488e-03
1.3577847023575e+09    1.1570187052712e-03
1.3577065773604e+09    9.6972018945962e-04
1.3576284523632e+09    8.8331464212388e-04
1.3575503273661e+09    1.0740146972239e-03
1.3574722023689e+09    1.1774098966271e-03
1.3573940773718e+09    5.9058319311589e-04
1.3573159523746e+09    7.8558703535236e-05
1.3572378273775e+09    5.6938285706565e-04
1.3571597023803e+09    1.3129452709109e-03
1.3570815773832e+09    1.2332462938502e-03
1.3570034523860e+09    4.6086875954643e-04
1.3569253273889e+09    -6.8244279827923e-04
1.3568472023917e+09    -1.8316329224035e-03
1.3567690773946e+09    -2.4331128224730e-03
1.3566909523974e+09    -1.4142662985250e-03
1.3566128274003e+09    1.9050871196669e-04
1.3565347024031e+09    7.5464078690857e-05
1.3564565774060e+09    -1.1830551084131e-03
